Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %CPU20, %CPU21, %CPU22, %CPU23, %CPU24, %CPU25, %CPU26, %CPU27, %CPU28, %CPU29, %CPU30, %CPU31, %CPU32, %CPU33, %CPU34, %CPU35, %CPU36, %CPU37, %CPU38, %CPU39, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1553770687, 0, 40, 12.0, 1.2, 3.1, 0.3, 0.5, 2.6, 0.9, 1.0, 0.5, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2, 264037004, 5393724, 252997296, 210580968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770688, 1, 40, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2, 264037004, 5392572, 252998260, 210580856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770689, 2, 40, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2, 264037004, 5392556, 252998276, 210580872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770690, 3, 40, 1468.0, 35.0, 29.3, 32.7, 35.4, 35.0, 35.6, 35.4, 35.4, 35.4, 36.0, 96.0, 35.6, 34.3, 36.0, 35.4, 35.0, 35.0, 36.0, 36.0, 35.6, 35.0, 35.6, 34.7, 35.4, 34.3, 35.4, 35.6, 35.0, 36.0, 35.0, 35.0, 35.3, 35.4, 35.6, 35.0, 36.0, 34.7, 35.4, 36.0, 35.4, 4.4, 264037004, 5892880, 252497900, 210080292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770691, 4, 40, 3972.0, 99.0, 99.0, 100.0, 99.0, 99.0, 99.0, 100.0, 99.0, 100.0, 99.0, 100.0, 99.0, 100.0, 99.0, 100.0, 99.0, 99.0, 99.0, 99.0, 100.0, 100.0, 100.0, 99.0, 99.0, 99.0, 99.0, 100.0, 99.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 99.0, 4.4, 264037004, 5893500, 252497280, 210079672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770692, 5, 40, 3988.0, 100.0, 99.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 100.0, 99.0, 99.0, 99.0, 99.0, 100.0, 99.0, 99.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 4.4, 264037004, 5894468, 252496364, 210078628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770693, 6, 40, 3992.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 99.0, 100.0, 4.3, 264037004, 5832160, 252558672, 210140936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770694, 7, 40, 3996.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 4.4, 264037004, 5894468, 252496364, 210078628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770695, 8, 40, 3996.0, 99.0, 100.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 4.4, 264037004, 5894440, 252496392, 210078656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553770696, 9, 40, 3996.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 100.0, 99.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 4.4, 264037004, 5894536, 252496296, 210078560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
