Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %CPU20, %CPU21, %CPU22, %CPU23, %CPU24, %CPU25, %CPU26, %CPU27, %CPU28, %CPU29, %CPU30, %CPU31, %CPU32, %CPU33, %CPU34, %CPU35, %CPU36, %CPU37, %CPU38, %CPU39, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1553778610, 0, 40, 60.0, 1.7, 1.8, 1.4, 1.7, 1.1, 1.8, 1.8, 1.3, 1.6, 1.7, 2.5, 11.4, 1.8, 1.4, 1.6, 1.8, 1.8, 0.8, 0.6, 1.9, 0.9, 1.1, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 2.1, 528281592, 6498212, 517158964, 507054348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778611, 1, 40, 64.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.3, 4.1, 4.2, 6.1, 2.1, 3.1, 2.0, 23.8, 5.1, 4.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2, 528281592, 6802840, 516847596, 506695736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778612, 2, 40, 28.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 1.0, 1.0, 1.0, 1.0, 3.0, 8.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2, 528281592, 6912424, 516736408, 506568616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778613, 3, 40, 88.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 5.0, 5.0, 7.1, 9.0, 2.0, 28.0, 10.0, 13.9, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2, 528281592, 7234492, 516416808, 506204336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778614, 4, 40, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 4.0, 2.0, 1.0, 2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3, 528281592, 7308492, 516341796, 506114792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778615, 5, 40, 116.0, 1.0, 0.0, 0.0, 5.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 41.0, 2.0, 3.0, 3.0, 9.0, 0.0, 3.0, 3.0, 11.0, 6.9, 2.0, 7.0, 2.0, 0.0, 1.0, 12.9, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3, 528281592, 7622320, 516027556, 505767436, 0, 0, 0, 0, 48, 0, 2072, 0, 12, 0
1553778616, 6, 40, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 14.0, 1.0, 6.1, 5.0, 3.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3, 528281592, 7774500, 515874564, 505592232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778617, 7, 40, 44.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 3.0, 6.0, 9.1, 2.0, 5.0, 4.0, 5.9, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 528281592, 7953420, 515698144, 505388476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778618, 8, 40, 64.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 9.1, 5.0, 9.0, 9.9, 14.1, 5.1, 4.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 528281592, 8191744, 515457384, 505115756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778619, 9, 40, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 5.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 528281592, 8272324, 515378400, 505024536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778620, 10, 40, 116.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.1, 6.9, 2.9, 2.0, 1.0, 9.9, 26.0, 5.0, 17.0, 17.3, 0.0, 3.1, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8492548, 515155000, 504781372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778621, 11, 40, 160.0, 26.3, 0.0, 8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.9, 0.0, 0.0, 0.0, 0.0, 0.0, 54.5, 0.0, 11.0, 30.3, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.1, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8492104, 515157604, 504781140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778622, 12, 40, 164.0, 28.3, 0.0, 7.1, 5.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.0, 0.0, 0.0, 0.0, 0.0, 0.0, 57.6, 0.0, 0.0, 13.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 5.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8492512, 515157836, 504780512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778623, 13, 40, 160.0, 27.7, 0.0, 6.1, 1.0, 35.4, 0.0, 0.0, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 0.0, 0.0, 55.6, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8492788, 515156348, 504779024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778624, 14, 40, 160.0, 26.3, 0.0, 6.1, 1.0, 38.6, 0.0, 0.0, 0.0, 0.0, 0.0, 17.8, 0.0, 0.0, 0.0, 0.0, 0.0, 52.6, 0.0, 3.0, 0.0, 0.0, 1.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8492196, 515157372, 504780028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778625, 15, 40, 160.0, 25.3, 0.0, 5.2, 1.0, 40.6, 0.0, 0.0, 0.0, 0.0, 0.0, 17.8, 2.0, 0.0, 0.0, 0.0, 0.0, 51.5, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8491884, 515157880, 504780536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1553778626, 16, 40, 164.0, 27.0, 0.0, 21.0, 8.0, 37.4, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 54.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 528281592, 8491448, 515158508, 504781140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
