timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/03/28 14:10:10.314, 36, 0 %, 0 %, 16280 MiB, 16270 MiB, 10 MiB
2019/03/28 14:10:11.316, 36, 0 %, 0 %, 16280 MiB, 15939 MiB, 341 MiB
2019/03/28 14:10:12.317, 36, 1 %, 0 %, 16280 MiB, 15917 MiB, 363 MiB
2019/03/28 14:10:13.318, 36, 7 %, 0 %, 16280 MiB, 15847 MiB, 433 MiB
2019/03/28 14:10:14.319, 36, 2 %, 0 %, 16280 MiB, 15827 MiB, 453 MiB
2019/03/28 14:10:15.320, 36, 5 %, 0 %, 16280 MiB, 15753 MiB, 527 MiB
2019/03/28 14:10:16.321, 36, 2 %, 0 %, 16280 MiB, 15715 MiB, 565 MiB
2019/03/28 14:10:17.322, 36, 4 %, 0 %, 16280 MiB, 15675 MiB, 605 MiB
2019/03/28 14:10:18.323, 36, 0 %, 0 %, 16280 MiB, 15621 MiB, 659 MiB
2019/03/28 14:10:19.324, 36, 0 %, 0 %, 16280 MiB, 15603 MiB, 677 MiB
2019/03/28 14:10:20.325, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:21.326, 36, 11 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:22.326, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:23.327, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:24.327, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:25.328, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:26.328, 36, 13 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:27.329, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:28.329, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
2019/03/28 14:10:29.330, 36, 12 %, 0 %, 16280 MiB, 15565 MiB, 715 MiB
